word,on,pc,dc
తల్లి,97,28.777835423827028,3
కల,196,16.79274314607336,2
అమ్మ,162,32.07747281460995,3
జిల్లా,34,29.590411389313225,3
చిన్న,79,28.569981296304537,3
కొంత,124,30.00711479736541,3
ఉంది,71,25.73261552053614,3
ముందే,20,23.790291090486306,3
కాస్త,75,24.61425326276317,4
తను,129,25.026195157239208,2
లేవు,85,26.97328926433588,2
వాళ్లు,115,31.097143643148716,3
ఇట్లు,85,28.468510587553993,3
వస్తే,98,25.655380066042675,4
దాన్ని,62,29.376394847800984,3
పది,146,19.521256313216405,3
ఇల్లు,99,26.795405034206397,3
రంగు,102,24.05129311009727,3
