word,on,pc,dc,sf,cp
చుట్టూ,24,32.21591505141188,4,15,12
స్వయం,7,31.56843921295688,4,9,4
చేసి,88,23.3615000645196,3,8,5
అను,198,23.686127759323497,2,6,4
ఇదే,62,21.637084818626494,2,8,5
ప్రతి,127,27.26796115303153,4,9,4
నేను,87,24.11416811906073,2,6,4
వ్యాధి,23,32.490706061875265,4,9,6
ముఖ్య,68,27.25300607476041,4,11,6
ఎన్ని,66,26.029350598005696,3,7,3
చర్య,38,29.06469666224746,3,7,4
బోర్డు,29,35.11943608739794,3,11,7
మత,191,25.35584441533971,2,8,6
కళ్లు,157,28.142894112798466,3,9,6
పెళ్లి,40,26.42617879760176,4,9,5
హిందీ,9,29.32483192837676,4,11,8
కాలం,71,23.91016259017346,3,6,3
విని,114,19.26369540758746,2,5,3
పెద్ద,50,25.37254841954112,4,8,4
స్థితి,104,32.16028770273764,6,12,5
ఎత్తు,75,28.30282934768336,3,9,6
ఆమె,71,24.413925154890293,2,8,5
రాజు,83,22.783389663173764,2,7,5
త్యాగం,1,32.71075201743342,4,9,5
కానీ,75,21.58429593543102,2,6,4
నిన్ను,74,30.662738241851777,3,8,4
అంటూ,36,26.26509371929826,3,11,8
ఐదు,73,22.296208267353904,2,7,5
గ్రహం,3,30.14083997522644,5,9,4
పద,144,19.302654455321417,3,6,3
మూడు,154,24.257749491376757,2,12,10
పడి,201,21.718961487524474,3,8,5
వ్యాప్తి,19,36.019020989745414,6,11,6
బట్టి,100,30.171507946480453,3,11,8
ఇట్టి,101,30.619402222301588,3,13,9
బంతి,122,27.8390619407206,3,8,4
రెండు,122,25.99848539092952,4,8,5
పూర్వం,31,30.7458500535389,5,11,5
నువ్వు,41,28.494850217521428,3,9,5
డబ్బు,30,30.82952872059672,4,9,6
రక్తం,36,25.88785942379032,4,7,3
తమ,112,25.35765289894695,2,8,6
అంటే,40,30.38944817617723,3,10,7
ఇంట్లో,26,34.43310729116248,5,14,8
ఒక్క,94,25.08151977795084,3,6,3
నుంచి,59,25.151289823193245,4,8,5
పేర్లు,43,28.43530702347296,4,9,5
చూసి,70,28.788465617827143,3,10,7
ఇది,113,19.47337234870183,2,7,4
నన్ను,92,30.42888012126824,3,8,4
మొక్క,77,29.414952241617787,4,9,6
ఖర్చు,32,32.4324861814626,4,11,6
ప్రాయం,18,29.071216705440666,3,10,6
పేజీ,39,25.72954215237068,3,9,6
కింది,62,24.7612194741287,3,7,4
వ్యక్తి,14,35.13485194671712,4,9,5
మైనా,21,29.47249130203282,3,9,6
మార్చి,70,28.35679927136222,4,11,9
పని,151,19.33929184606981,3,5,2
భార్య,21,32.575743576914164,6,8,4
వ్రాత,113,27.881461739133808,3,9,6
క్రమం,6,30.78179278351273,4,8,4
చెంది,67,25.416954084294204,3,8,5
ఏంటో,3,28.061294167485247,4,11,6
మార్పు,72,24.898933151127316,2,11,8
గదా,91,19.103526046453283,2,6,4
భర్త,21,24.96866797577826,4,8,4
తల,162,20.35822822220515,2,6,4
అంత,142,28.629542784092603,3,8,5
వేల,134,19.7268671944108,2,6,4
పంట,119,24.6843261447217,4,8,4
అందు,103,25.69970948564246,3,8,5
ఇక,137,18.531334177483647,2,6,3
ఆట,154,20.62230902616157,2,8,5
చూస్తే,23,34.28541728497901,4,12,8
వద్ద,109,24.8310105857961,3,8,5
శ్రమ,44,25.567215836798898,3,9,5
ములు,162,25.101463032622604,3,8,6
సరి,156,17.511276739649897,3,4,1
చాలా,40,22.680180379182733,2,9,7
అది,196,20.6576012895085,2,6,4
భాగం,15,26.032630035868344,4,8,4
తప్పు,105,32.526473039352354,4,10,5
గాలి,102,20.529758458289404,2,6,4
వాడు,178,25.013642939352373,3,9,7
యొక్క,53,26.4590085115551,3,9,6
పేరు,121,23.027308234443478,3,7,4
నాకు,124,23.394583206507374,2,6,4
కళ,117,18.80867942185879,2,6,3
