akshara,dc,pc,sf,cp
ళ,1,10.038377933681282,4,2
యం,2,20.51604863021938,5,3
త,1,12.330090164036136,4,3
నుం,2,17.740086727572557,4,2
శ,1,8.939649918216247,4,2
గొ,1,11.522569602981774,4,3
డో,1,16.167071120468993,7,5
మీ,1,14.93892298348366,5,4
న్నీ,2,19.953500020843403,6,3
అ,1,10.984401058174315,3,2
ఇ,1,9.778836647121873,4,2
అం,2,16.00505979167805,4,2
న్న,2,18.03829431281012,5,2
ద్వా,2,21.336294618156234,6,4
ర్పు,2,19.41057038057676,5,3
న్యా,2,22.53401006556981,4,1
ఖ,2,11.677579154801204,5,2
ధ,2,10.631124294920014,4,2
శాం,2,15.720902827823137,6,3
మె,1,13.607748916178464,4,3
వ్వు,2,23.9741288351332,6,3
మి,1,13.258851151977591,4,3
బ్దం,3,20.21216674490493,5,2
దు,1,12.921036724248202,4,3
ప్రా,2,16.63288470827709,5,3
