word,on,pc,dc,sf,cp,syllable_structure,syllable_breakup,cluster
చూస్తే,23,34.28541728497901,4,12,8,C1V.C1C2V,చూ.స్తే,complex
వద్ద,109,24.8310105857961,3,8,5,C1V.C1C1V,వ.ద్ద,moderate
శ్రమ,44,25.567215836798898,3,9,5,C1C2V.C1V,శ్ర.మ,moderate
ములు,162,25.101463032622604,3,8,6,C1V.C1V,ము.లు,moderate
సరి,156,17.511276739649897,3,4,1,C1V.C1V,స.రి,simple
చాలా,40,22.680180379182733,2,9,7,C1V.C1V,చా.లా,moderate
అది,196,20.6576012895085,2,6,4,V.C1V,అ.ది,simple
భాగం,15,26.032630035868344,4,8,4,C1V.C1Vm,భా.గం,moderate
తప్పు,105,32.526473039352354,4,10,5,C1V.C1C1V,త.ప్పు,moderate
గాలి,102,20.529758458289404,2,6,4,C1V.C1V,గా.లి,simple
వాడు,178,25.013642939352373,3,9,7,C1V.C1V,వా.డు,moderate
యొక్క,53,26.4590085115551,3,9,6,C1V.C1C1V,యొ.క్క,moderate
పేరు,121,23.02730823444348,3,7,4,C1V.C1V,పే.రు,simple
నాకు,124,23.394583206507374,2,6,4,C1V.C1V,నా.కు,simple
కళ,117,18.80867942185879,2,6,3,C1V.C1V,క.ళ,simple
అన్నీ,142,30.9266292799683,3,9,5,V.C1C1V,అ.న్నీ,moderate
ఏది,112,19.78824171651444,3,6,3,V.C1V,ఏ.ది,simple
అతి,242,24.436429313760097,2,8,5,V.C1V,అ.తి,simple
పన్ను,112,31.135900895236176,4,9,4,C1V.C1C1V,ప.న్ను,moderate
మంది,81,25.225412854271152,3,8,5,C1Vm.C1V,మం.ది,moderate
మాట,145,25.555091515355084,3,10,8,C1V.C1V,మా.ట,complex
దృష్టి,21,38.53307405399551,5,13,8,C1V.C1C2V,దృ.ష్టి,complex
ఉంటే,18,30.37232503807636,3,12,9,Vm.C1V,ఉం.టే,complex
ఎలా,60,19.509477698814685,2,6,4,V.C1V,ఎ.లా,simple
ఆయా,70,27.0198831857261,2,10,7,V.C1V,ఆ.యా,moderate
కొని,110,22.141555015527995,2,5,4,C1V.C1V,కొ.ని,simple
మీరు,101,26.32600386769494,2,8,6,C1V.C1V,మీ.రు,moderate
ఉండి,125,27.9421642962079,3,11,8,Vm.C1V,ఉం.డి,complex
వృద్ధి,18,35.46920660994071,5,10,7,C1V.C1C2V,వృ.ద్ధి,complex
జ్ఞానం,5,35.35923904424254,4,14,9,C1C2V.C1Vm,జ్ఞా.నం,complex
మధ్య,87,31.49048715436629,5,9,5,C1V.C1C2V,మ.ధ్య,moderate
పెట్టి,78,30.91017585545648,4,12,8,C1V.C1C1V,పె.ట్టి,complex
అనే,144,22.35775957561318,2,6,4,V.C1V,అ.నే,simple
వేరు,130,23.084501964865822,2,7,5,C1V.C1V,వే.రు,simple
నీకు,112,23.32384695799644,2,6,4,C1V.C1V,నీ.కు,simple
వాడి,173,23.46455738305597,2,9,7,C1V.C1V,వా.డి,moderate
శాంతి,103,28.245365497303904,5,11,6,C1Vm.C1V,శాం.తి,complex
కవి,150,18.5421430106362,2,5,3,C1V.C1V,క.వి,simple
మన,145,22.263030480712224,2,6,4,C1V.C1V,మ.న,simple
నది,126,18.921941427065686,2,5,3,C1V.C1V,న.ది,simple
మని,145,22.523366762270005,2,6,4,C1V.C1V,మ.ని,simple
ఒక,124,17.13823743309117,2,4,2,V.C1V,ఒ.క,simple
ఇంత,127,27.12035251809172,3,9,5,Vm.C1V,ఇం.త,moderate
ప్రేమ,49,28.647956791473103,4,9,5,C1C2V.C1V,ప్రే.మ,moderate
వంట,114,24.40344740614225,3,8,5,C1Vm.C1V,వం.ట,moderate
శబ్దం,22,29.1651490910542,4,9,4,C1V.C1C2Vm,శ.బ్దం,moderate
రెండో,8,29.59271107185973,3,10,6,C1Vm.C1V,రెం.డో,moderate
ప్రాంతం,1,30.015123404545697,6,11,6,C1C2Vm.C1Vm,ప్రాం.తం,complex
కూడా,54,26.3268633496274,2,10,8,C1V.C1V,కూ.డా,complex
దూరం,20,24.33490273402464,2,9,6,C1V.C1Vm,దూ.రం,moderate
శతం,23,26.35728456083332,3,9,5,C1V.C1Vm,శ.తం,moderate
విద్య,56,30.5299661865802,3,7,4,C1V.C1C2V,వి.ద్య,moderate
మీకు,94,27.103408147905977,2,8,6,C1V.C1V,మీ.కు,moderate
సార్లు,50,29.098112776097786,3,8,5,C1V.C1C2V,సా.ర్లు,moderate
క్రింది,60,28.19670491384139,4,8,4,C1C2Vm.C1V,క్రిం.ది,moderate
పూర్తి,42,30.15112559413156,4,10,6,C1V.C1C2V,పూ.ర్తి,complex
అలా,154,22.72146706099402,2,7,5,V.C1V,అ.లా,simple
బాగా,54,22.641921358000687,2,7,5,C1V.C1V,బా.గా,simple
క్రొత్త,36,33.0685178222443,4,11,7,C1C2V.C1C1V,క్రొ.త్త,complex
స్పష్టం,4,38.56742952431564,7,12,5,C1C2V.C1C2Vm,స్ప.ష్టం,complex
మాత్రం,59,31.37293179774841,4,12,8,C1V.C1C2Vm,మా.త్రం,complex
ఆరు,155,22.191974384842126,2,7,4,V.C1V,ఆ.రు,simple
ఎంత,116,25.1123417331292,3,7,4,Vm.C1V,ఎం.త,simple
గుండె,49,26.792572906214705,3,8,5,C1Vm.C1V,గుం.డె,moderate
పాత్ర,69,29.226907943425605,3,10,6,C1V.C1C2V,పా.త్ర,moderate
పటం,90,24.686175919995765,4,8,4,C1V.C1Vm,ప.టం,moderate
ప్రశ్న,25,31.62008392960253,5,11,4,C1C2V.C1C2V,ప్ర.శ్న,moderate
మందు,92,24.188093908359047,3,9,6,C1Vm.C1V,మం.దు,moderate
మూల,129,24.54914726307871,2,9,7,C1V.C1V,మూ.ల,moderate
ఇచ్చి,80,28.818381606919107,3,11,7,V.C1C1V,ఇ.చ్చి,complex
వచ్చే,97,30.30541663360676,3,11,8,C1V.C1C1V,వ.చ్చే,complex
